アカウント,作成日,ツイート,良いね数,リツイート数,言語,場所,アカウントの説明,フォロワー数,認証の有無,フォローしている数,ツイート数,アカウント作成日
okanekaeshite88,2020-06-04 23:52:34,'@FX42159428 PayPayモールに出品されてないんですけどどうやったら見れますかね？(アプリで) https://t.co/jKhpFNtbRT,0,0,ja,疑い深いですよ詐欺られたんで。,'2回もswitch販売詐欺に遭った素晴らしいカモでぇす✌️合計37500円が帰ってこなくて悲しいので定価以下で譲ってくれる方を募集しています。有料の場合は、後払いか代引きで発送、手渡しができる余裕のある方に限ります。以上が出来ない方は詐欺とみなしてブロックします。,7,False,31,83,2020-05-26 13:52:43
iPhoneMania_jp,2020-06-04 23:51:54,'「さくらトラベル」がPayPayを導入、PayPayで航空券の購入が可能に #iPhone #キャンペーン #決済 #モバイル決済 #サービス https://t.co/450kWgg3ha,6,4,ja,Japan Tokyo,'iPhoneなどApple製品の最新情報を配信するニュースサイト「iPhone Mania」の公式アカウントです。  主に記事公開時のツイート投稿ですが、イベント開催時や新製品発売時なはリアルタイムツイートを行います。  DMやリプライは原則対応できませんので、お問い合わせはサイトよりお願いいたします。,12223,False,166,26365,2013-08-11 06:39:59
honsedori,2020-06-04 23:51:35,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/zHKqMVH0Go,0,0,ja,,'今年から副業で本せどりを本格的に始めた23歳のセドラー。 販路は主にAmazon。直近の目標は月利5万。 今年1年でどこまで資産を増やせるか。 皆さんとTwitterを通して色々と共有していきたいと思います。,88,False,91,50,2020-01-20 11:15:46
tgxy8152,2020-06-04 23:50:34,'PayPayとマンガの課金やめよ、、😰😰,2,0,ja,,'やんわりデブ,502,False,1001,45050,2017-06-01 18:13:40
harutakooo,2020-06-04 23:50:29,'PinterestとPayPayめっちゃ間違える https://t.co/mrEkXj1QLg,3,0,ja,,'動画作ります。イラスト/歌/MIX/ ※動画制作のお仕事募集中,337,False,558,923,2017-07-31 13:55:14
library_fit,2020-06-04 23:50:12,'PayPayとかはとても戦略的だと思うからとても好き,0,0,ja,日本 東京,'筋トレアプリLIBRARYの開発者 / bosyuのプロダクトマネージャー / 人事 // 🍿の第一想起をとるためだけに人の役に立つTweetをしています🍿🍿,1299,False,418,13741,2017-05-06 12:51:11
deadening_shop,2020-06-04 23:49:21,'Yahooショッピング支店にて【レジェトレックス制振シート】のご購入ありがとうございます!!  #デッドニング　#防音　#吸音　#遮音　#オーディオ　#車 #Yahooショッピング支店 #PayPay #レジェトレックス制振シート　https://t.co/CggXKyp4ym,0,0,ja,大阪 大阪市 中央区,'車のデッドニング・防音おたくの店長が、実際に効果が高かった素材のみを厳選して販売しております。 ヤフーショッピング支店https://t.co/SrVrm5KgFP Amazon支店https://t.co/2cMfBrwJfa TOPバナーは@akasio_kani作,651,False,816,78806,2011-02-01 06:32:46
pontagon_adhd,2020-06-04 23:49:21,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/YeRft72vGI,5,0,ja,,'ちびっこ３人子育て中☆（ほとんど旦那が）子どもたくさん遊びたい！カフェ経営☆ 自営業嫁 元保育士 ⭐︎やすいもの探すの大好き😘 旅行行きたい願望！！！ ♯楽天room ダイヤモンド会員,670,False,1978,1270,2018-11-25 12:58:05
simasima_rish,2020-06-04 23:49:15,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/3LqIQDm2gA,0,0,ja,都内,',78,False,227,3026,2010-10-07 14:52:15
7L1WQO,2020-06-04 23:48:59,'@JF3GFH_K6QJ 出来ればロピアPayPay復活してもらいたいですね,1,0,ja,神奈川県平塚市,'まいどです 最近は固定からの運用です 50Mhz中心に出てますのでヨロシクお願いします 阪神タイガースファンです なお無線関係は基本的に一度以上交信があった方のみフォロー致します 一見さんおことわりさせていただきますm(_ _)m なんちゃって2アマ   フォローリクエストはQSOした方とお願いします,343,False,444,31785,2010-03-05 16:25:31
___kill1226,2020-06-04 23:48:56,'YahooショッピングだとPayPayの還元率いいことが分かったのでYahooショッピング信者になるわ,0,0,ja,,'20↑お酒とお金とゲームがすきなニート,58,False,886,9780,2018-07-21 21:14:55
VAymkklt0c8NTsk,2020-06-04 23:48:51,"'おっぱと一緒にコンビニに行ってアイスコーヒーを自分で買ったら「ボクが買ってあげたのに！」って悔しがってた。 １分後、PayPayで5,000円送られてきた。",3,0,ja,日本,'韓国人の彼氏います。出会いはOmiai✨初アポでビビっときて付き合って１年㊗️結婚しなくてもずっと一緒にいられる？ #오빠 #韓国人彼氏 🇰🇷 #日本在住 #柴犬 #ｱﾗﾌｫｰ,137,False,111,2272,2019-04-14 14:37:32
Do7l9,2020-06-04 23:48:22,'@cabbage_ao2 But 俺は歩み出すThis way 握り締めた手にはpaypay Because それこそ俺の人生 そしていつか語り継ぐぜ後世 今度こそ話さないぜいつかのゴミ袋 すかさず右手の籠へシュート 俺にはないぜ腐り切った躊躇 レジへ進むぜ迷いのないルート,1,0,ja,ラテテルタウン,'成人済み夢腐女子 無言フォロー常習犯 垢分けできない芸人 https://t.co/A12Bl6cOUE ポケモン剣盾、シチュ💿、その他諸々,183,False,462,63443,2009-11-30 14:14:48
tkm2161,2020-06-04 23:48:05,'PayPayがボーナスひと月で400円増えた。 https://t.co/MtdTmWJDKC,0,0,ja,,'✨camera sony #α7r2 #RX100M5 #googlepixel3xl ✨#supercubc125 2019 ✨🚲️#Specialized #tyrellfx ✨girls und panzer  ✨LoveLive!Sunshine #tkm_photobox #tkm_photobox_沼津,430,False,629,51503,2014-02-16 21:38:36
negi_mania,2020-06-04 23:47:42,'paypayでワイド車券を買って払い戻し、またチャージしてワイド車券買うpaypayジャンボロンダリングできるんじゃね？ https://t.co/H03VqQjJAr,0,0,ja,ほっかいどーちほー,'北海道滝川市出身です(*・ω・)ゞよろちくお願いします♪( ´▽｀),246,False,769,40053,2010-05-18 13:21:31
kismyTS95ten,2020-06-04 23:47:16,'今どきPayPayで払えるんだね(笑) わざわざ役場まで行かないでいいのは便利(笑) ってことでPayPayお支払い〜笑,0,0,ja,玉ちゃんと千ちゃんに会いたい♡,'94line⭐️玉森裕太と千賀健永 2人の笑顔は世界一☝️てん★ちゃん(@tenkukku) ＊玉千担とてん担,183,False,184,21903,2017-02-28 15:42:20
kokona_chan15,2020-06-04 23:45:13,'【ぺんぎんのちいちゃい企画突発編】  PayPay117円×1(名)  いいな！の117円♡  フォローᵃⁿᵈRTで参加完了✨  リプは任意()  めっちゃ倍率低いのでPayPay貯金にどうですかー？  20ふんごの0時05ぷん〆  よーいドン✨,9,15,ja,ぴえん侍🍵🍵🍵🍵🍵,'(っ'-' )╮ =͟͟͞͞❤推し@Matcha_147🍵に一途なんですᵕ̈ #ぺんぎんの当選報告 たまに少額企画してます✨→実績書いてくれる方は #ぺんぎんのぴえん侍 をつけてくれると嬉しいです🥺,1122,False,974,13080,2019-11-25 06:45:48
023_2525,2020-06-04 23:44:54,'岩谷堂商店街はPayPay推しだよ、と伝えたら驚愕してましたしつれーなwww,1,0,ja,とうほぐ,'地元ごはんとFGOとポケGO（岩手 青 TL40 2304 7873 5154）,61,False,68,5895,2011-03-18 07:56:55
mi2ki1213,2020-06-04 23:44:52,'PayPayのキャンペーンで10%帰ってくるからドスパラにしたけど流石に還元対象外は想定外だった,0,0,ja,,'The content of this account is OPPAI / 20↑ / icon: @ponpeEX / ラーメン神父 / https://t.co/dpv5dFLW37,203,False,355,152083,2013-10-08 07:22:18
5296YUZUyasu,2020-06-04 23:44:33,'@Chiba_Lotte 福ちゃん、千葉でも活躍されてますね⚾️開幕戦楽しみにしてます🎵本当ならチケット取れてたからpaypayドームで観戦のはずでした😨,1,0,ja,福岡,'趣味垢。音楽好きな福岡住みです。ホークスと音楽好きな方は、無言フォローOKです。ライブ参加歴は、18年470公演超えてます。観たことあるアーティストは210組くらい。ミスチル、コブクロ、ゆず、BUMP OF CHICKEN、スキマスイッチ、ドリカム、RADWIMPS、米津玄師、星野源、髭男を中心に全国遠征してます。,361,False,676,10613,2017-08-21 04:57:14
Osati_0902,2020-06-04 23:44:32,'そう考えるとPayPayとかLINE Payの口座引き落とし払いの方が良さげ感ある,0,0,ja,奈良県,'ぷそ(ship2) 全21キャラ(主要キャラ12キャラ)。Night☆Kids所属。 空リプとSSと独り言が多い垢です。 だらだらの日々(:3_ヽ)_,351,False,321,157668,2011-12-14 09:43:45
ShoGalaxy0125,2020-06-04 23:44:14,'@201507_tweet クレジットカード紐付したくないしPayPayやめよかな。。。 ただ、電子マネー便利だしな…。,0,0,ja,昨日と明日の間,'元スーツ屋さん/寝てる時以外常に眠い人/コーヒーと紅茶が好き/マイペースにInstagramしてます✈︎,513,False,687,18388,2013-06-04 15:41:10
mi2ki1213,2020-06-04 23:44:09,'ドスパラのPayPay支払いがキャッシュレス対象外なの笑うわ,0,0,ja,,'The content of this account is OPPAI / 20↑ / icon: @ponpeEX / ラーメン神父 / https://t.co/dpv5dFLW37,203,False,355,152083,2013-10-08 07:22:18
logi_impact,2020-06-04 23:43:39,'ポイントカードのポイントとか基本ためるだけだし、なんか最近こういうの増えてんなぁって思って、無くなってもいいくらいでやってみよ感覚でやってるけど、今のところPayPayが優秀だなぁ……🤔 https://t.co/ninnCY7R68,3,0,ja,神奈川県相模原市,'神奈川に住んでる一般ピープルです。競馬を見るのが好きです!! 最近一口馬主も少し始めました。   愛車はマツダ・CX-3   一口出資競走馬 DMM：ｼﾝﾊﾘﾝｸﾞ・ｴﾀｰﾅﾙﾊｰﾄ・ﾚｱﾝｶﾙﾅｼｵﾝ YGG：ﾌﾞﾙｰﾛｰｽﾞｼｯﾌﾟ・ﾗｲﾝｵﾌﾞﾌｪｲﾄ,289,False,302,20655,2011-08-03 11:01:05
mashiro000,2020-06-04 23:43:32,'楽天ペイってよそのクレカだとポイント貯まらなくなったのね。キャッシュレス還元が始まった時に数ヶ月ごとにまとめてポイントバックってやってたから気付くの遅れたｗ鷲さんのグッズも買わなくなったから会員ランクもレギュラーに落ちたし！！今更だけどPayPayに乗り換えようかなｗ,0,0,ja,♪車に乗りYOKOHAMAへ行こう,'ラクリーでHolicで'20シーズンよりちなヤクに移籍しました╰(*´︶`*)╯♡ 大好きな人はJUN-Tさん☆燕#45☆兎#009☆,74,False,565,93485,2010-01-09 09:37:17
kikaininngenn,2020-06-04 23:43:31,'paypayのボーナス運用、これもしや6/1から急激に参加する人増えたからめちゃくちゃ上がったんか？,0,0,ja,ひみつきち,'ごはんたべたべマシーン,649,False,1487,150233,2010-05-13 10:56:39
hitsujinomo,2020-06-04 23:43:26,'ヤフーのサイトだったしPayPay残高足りたから買っちゃった😋 楽しみ〜💕 ごはんに乗せるだけで食べられるってのが最高だわ…🥰,0,0,ja,,',4,False,0,3797,2019-06-15 05:42:34
megumi2661,2020-06-04 23:42:53,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/I8vJYJpyk6,0,0,ja,大阪府,'5歳の女の子ママです👧懸賞アカではなく、日々の色んな事をアップしてます😆 初心者🔰ですが、お得な事や懸賞も好きです☺️関西圏の情報探してます🙋お得仲間募集中です🍀当選報告は、#リリィの当選報告 でさせて頂きます✨😌✨,372,False,2148,10957,2012-03-28 05:34:19
grd0,2020-06-04 23:42:09,'ゲムトレ ゲムトレ売り上げ金 ゲームトレード ゲームトレード売り上げ金 #ゲームトレード #ゲムトレ ゲムトレ換金 メルカリ メルカリ換金 メルカリ残高換金  実績500ごえ！😁 安心安全！😁  買い取りします  ITunes ラクマ メルカリ LINE Pay Googleカード アマギフ PayPay なども換金可能  たら,0,0,ja,Twitterだけで実績709,'😁Twitterだけで2020#3月23日😁の時点で❤実績709  日々更新中 いいねに実績まとめてます！  サブ垢  @f44e   凍結時の対策垢ですw   最近熱帯魚 にはまりました 金魚 熱帯魚 古代魚   女🚺❌  カジプロ モンスト ドカバト 販売メインです！,1943,False,1856,32841,2013-12-09 14:45:41
exex_nb,2020-06-04 23:41:26,'@makky_nb メルペイはこないだ初めて使った！！笑 PayPayの方がやっぱ普及してて使いやすいのかなーって🤔,0,0,ja,関西,'Novelbrightメイン( •̀ᒡ̫•́ )🥒他にも色々聴きます💜 無言フォローすみません。仲良くして下さい🐱💓@Novelbright_jp #Novelbright ♡@yudai_vo ♡,250,False,296,2489,2019-11-18 02:01:10
exex_nb,2020-06-04 23:40:40,'@maaa_416 ポイント返ってくるのデカいですよね🤔d払いは帰ってくるけどIDなら安くなるくらいだからPayPayありなのかなーって🤔ちょっとめんどくさそうにおもえてて🤔,0,0,ja,関西,'Novelbrightメイン( •̀ᒡ̫•́ )🥒他にも色々聴きます💜 無言フォローすみません。仲良くして下さい🐱💓@Novelbright_jp #Novelbright ♡@yudai_vo ♡,250,False,296,2489,2019-11-18 02:01:10
SR04181396,2020-06-04 23:40:19,'@tontonchax ご連絡ありがとうございます🥰 PayPayやってらっしゃるならDMお待ちしてます❤,0,0,ja,,'コロナで欲求限界！ ヤリたいだけの濡れないDMは🖕 ヤリたきゃ濡らしてみろよ🥰🥰🥰  距離感分かってないDMは晒すよ🥺 会うつもりもないよ🥺,100,False,78,263,2019-08-26 14:21:46
yogore315,2020-06-04 23:40:19,'わて 180分でんまパイパイコースですね！ 塚ちゃん オプション頼んで無いんですけど・・ 昨日のやり取り❗  他の方 ３時間で支払いは電子マネー、paypayです！ 略しちゃイカンて事ですね‼,0,0,ja,,'下衆野郎!！,38,False,125,68,2015-02-17 19:43:55
marikichi0410,2020-06-04 23:39:21,'@nekokatteruyo 6万… とりあえず携帯初期化しちゃえば？😂 iPhoneならIDのパスワード変えて教えなければPayPayすらDLできなくなる🙌🏻,0,0,ja,東海地方🗻,'👱‍♂(33)👩🏻‍🦰(31)👶(2m) Girl🌷 4/3(39w0d)に出産◡̈❁ 専業主婦🍳 苺柄が好き🍓♡ 手抜きのんびりLife満喫中🌸 アイコンはちひろさん(@chitti_design) バナーはぶりこさん(@hacha22843) です🧚‍♀️ #2020apr_baby,423,False,335,2605,2019-08-21 01:57:01
NK_875,2020-06-04 23:39:21,'@8_suka はっちも特別な存在やからPayPayやな？！,1,0,ja,クチバシティ,'Eveくん/写真撮る人/歌い手さん/Splatoon2/マリカー/ パズドラ/ツイキャス/自転車乗りで プログラム書いてるIQ1のねこ 無言フォロー◎,169,False,170,9854,2016-05-09 00:41:20
serenado3,2020-06-04 23:38:56,'PayPay、「がんばれ浜松！」30％還元キャンペーン - ケータイ Watch https://t.co/gXAPLSNCP2  浜松市行かなきゃ……！,1,0,ja,君の心の中,'【意識低い社畜】 食事、睡眠、お金が大好き/ 実況民/野球（巨人、アンチなし）/アイマス（765、デレ、SideM足湯、ミリ足湯、シャニ足湯）/アニソン系ライブ/キルミー/グラブル/FGO/IT関連話題/食べ物/ニコニコメドレー/アニメ/その他サブカル/桃井あずき　リアルでも煩い人 宣伝・政治垢はブロック,664,False,623,476389,2009-08-26 01:34:41
kamiroke,2020-06-04 23:38:45,'PayPayで競輪が買えるの(・ω・｀)⁉️,3,0,ja,美神令子除霊事務所 大阪支部,'平日は株、競艇、バッセン。土日は競馬、競艇、バッセン。株は配当、優待派からキャピタルゲイン派にシフト気味からの信用ぶん回し勢に回帰中。ちち、しり、ふとももー⸜(* ॑꒳ ॑* )⸝♬.*ﾟ,895,False,504,57852,2016-01-03 07:55:46
feed_7211,2020-06-04 23:38:14,'PayPayドームじゃなくてポイポイドーム😂 https://t.co/VJUOVtintp,0,0,ja,居たいところ,'セカオワ垢♀0407熊本乗車🤡1020横浜ブレーメン🐕0511宮城The Colors🔫0905福岡DGDD🎡R.A.I.N.S☔️ 〈@kameraman891〉,200,False,247,1797,2018-06-14 16:44:06
