アカウント,作成日,ツイート,良いね数,リツイート数,言語,場所,アカウントの説明,フォロワー数,認証の有無,フォローしている数,ツイート数,アカウント作成日
hiruneko_ks,2020-04-07 23:51:40,PASMOに比べるとちょっとめんどいけど、PayPay使うようにするかなぁ,0,0,ja,東京都 世田谷区のはじっこ,昼寝とねこをこよなく愛するアラフォー(♂)なIT業界の人。 銀英伝とか日本Falcomのゲーム(軌跡シリーズ、Y's)とかアニメとかがお好き。モバイルは、OPPO Reno AとiPad  mini 5を使用中。,138,False,298,22519,2010-07-11 02:33:57
pxoxn,2020-04-07 23:50:30,@sea2coo Paypayやってなくて後売チケット買えてなくて…手書きの護符…山本さんの…いやあ買うべきかなあ(笑),0,0,ja,大阪市内、アメ村とか弁天町とかかつては天満とか,"働けTKGK！
尼崎LIVE SQUARE→神戸Star Club→心斎橋MUSE→BIGCAT→神戸VARIT.→大阪福島2nd LINE→でまたBIGCATにて制作してます。
「ヒカリノミナモト」というイベントも企画したり。
アイコンは @sushiko_sushio さんの作品。
卒原発派。",1103,False,1043,37805,2009-08-11 11:32:19
sasakana069,2020-04-07 23:50:25,@sukiya_jp どちらが当たってもありがたい😊2月はPayPayで半額キャッシュバックだったので沢山食べに行きました😊,0,0,ja,懸賞仲間募集中😊フォロバ🐢♥,結婚2年目突入🐰30代の主婦💑海無し県から港町へお引越し💕とにかく釣りが大好き🐟旅行も大好き☺最近ハマってることは野鳥観察です🦅🦆心を込めて当選報告します__ ✍🏻✨    #かなかな当選報告,2087,False,3630,15808,2019-06-16 23:59:06
masaya303451,2020-04-07 23:50:11,@mu1330 PayPayや口座に入金するとムーラジだけでなくゲストにも還元されるという解釈で良いですか？,0,0,ja,,準備中,330,False,394,1551,2013-04-19 03:10:04
shi123s,2020-04-07 23:50:06,@HAMAZUSHi_com はま寿司さんのお寿司をおうちでも美味しく食べたいですね💕PayPayで支払いま～す🥰,0,0,ja,宮城県,自転車は乗れないけど一輪車は得意❯❯食べること大好き🍴炊きたてのご飯最高😍❯❯2児のママ❤❯❯快適マイホーム完成 整理整頓·収納術を勉強中💪懸賞歴3年目❤❯❯今まで数えきれない程のステキなご縁をいただきました🙏感謝の気持ちを忘れず、健康！笑顔で2020年も頑張るぞ❣️❯❯#ゆせまる当選報告  豆っ子🌱,2719,False,4880,68282,2011-12-24 12:56:05
__WaIwan,2020-04-07 23:49:57,@Shiba_Shiba007 PayPay使ってないけど、相手を指定して送れるんですか？できるなら便利かも😁,2,0,ja,日本 東京,"写真が好き。アマチュアカメラマンです。 東京。 展示やフォトブック作成。ムック・カメラホリックフレア「撮る側の、肖像掲載」
ツイフィール https://t.co/usfI6wxVld 
https://t.co/fTrmZ3BMmn　(ブック販売)",3400,False,1989,6517,2014-09-28 11:26:39
mel1lw,2020-04-07 23:49:42,PayPayやってる方お金くださいhttps://t.co/4BezWCnAnJ,4,1,ja,,"埼玉県,無職女性の雑多垢。一般人。サンリオがだいすき 🗝@yuna_tksk💟 何があれば✉️yuna.sztn@gmail.com",1469,False,207,4113,2019-10-14 12:24:14
hdt02,2020-04-07 23:49:34,@nzzzk おーまさにこういうのが必要なんだよ。店が支払う手数料安いといいんだけど。アップルが公式アプリ作って、全世界のお店登録出来て、安い手数料で入金出来るとかそんなのしてくれないかな。というかPayPayとかやれないんだろかね,0,0,ja,パレスオブワンダー,芝生の上でごろごろするのが得意です,723,False,289,89699,2008-06-24 09:24:18
Shiba_Shiba007,2020-04-07 23:49:01,@__WaIwan 支払い方法はPayPay等の利用もいいかもですね。今や公共料金支払いも可能ですしね！,0,0,ja,日本 東京都,"女性ポートレート中心に趣味の写真撮影している週末フォログラファー（時々平日も）。
今年は写真以外の時間も大切にしたいので、少しゆったりと・・（予定）",2041,False,1095,7022,2011-05-07 03:50:56
TalkCureTULICHT,2020-04-07 23:48:50,占い＆カウンセリング▪️TalkCure（とーきゅあ）▪️銀行振込、PayPal以外に【PayPay】でのお支払い可能になりした💕ID→ talkcureID検索から送金も出来ます！家にいるから暇、話したい、等でも気軽に利用してください❣️❣️❣️https://t.co/o9SK5d5qlE https://t.co/0e4D3BTNLq https://t.co/8pqBoEL0y8,8,4,ja,JAPAN,ルーン占い☆スピリチュアルカウンセリング☆悩み相談☆ただの雑談☆何でもOKの心の癒し処TalkCure（とーきゅあ）です✨ルーンストーン・天然石を使ったリーディングやっています✨パワスポ・オカルトetc,82,False,76,307,2017-04-16 21:28:34
4kegys9M0ERPiDJ,2020-04-07 23:48:04,しまった　PayPay言うの忘れた（笑）,4,0,ja,,上方落語 右投右打ち 内野何処でも守れます ツイッターは発信。コメントお返し出来ない場合あります。すみません。,205,False,13,355,2018-07-08 12:04:59
sxcyi5,2020-04-07 23:47:43,しっかりとした鑑定が良い！という方へ…🔎オンライン鑑定やってます・zoom使用・70分・1万円通常、対面の場合1万5千円ですがお値下げしています🙈お渡しする資料は変わらず、具体的なことに関してもできる限り鑑定いたします☺️PayPay使用可能になりました🙌🏻ご希望の方はDMよりどうぞ💌,0,0,ja,四柱推命鑑定師,四柱推命をわかりやすくつぶやく。にゆるく挑戦中💬 迷っていたときに四柱推命に後押ししてもらった経験から鑑定師になりました🔎 人生を決めるのは自分！四柱推命はそのお手伝い🌙毎日がすこしでも豊かにになったら嬉しい | ゆる婚活経験者👫｜しいたけ食べられません | 兼ヨガ講師🧘🏼‍♀️,263,False,255,1043,2019-12-24 11:53:37
yoruka00nyan,2020-04-07 23:47:17,@Ume_Mamire そうなんですね！ありがとうございます！！PayPal結構使えるとこ多いんですかね？💦PayPayとすら違いがわからない無知なのでよくわからなくて💦💦,0,0,ja,じろちゃんの帽子の中,雑食レイヤー洸（こう）です💕無言フォローフォロバしません！ 😥コスプレと猫と絵とか雑多にツイートします😉✨清光ガチ勢です💕25↑ ⚫︎好き→青エク、ラキド、ドラマダ、lament、マギ、第五人格、黒執事、刀剣乱舞、艶漢、ゾンゼロ、Ｋ、ダンロン、アイナナ 、ヒプマイ、カイブ→153876,648,False,574,51960,2013-05-20 13:16:41
87tano_chi,2020-04-07 23:47:07,クイズ正解したから1000円分のPayPay残高もろた！父から,0,0,ja,かんかん橋,インドアおたく　https://t.co/fnjSJ604Ew 竹輪天から改名しました。 音楽垢→@87goroawase,119,False,107,59192,2010-08-25 12:49:48
suzukyuin,2020-04-07 23:46:57,4：完全キャッシュレス現金の取り扱いは感染のリスクがある。例えば具体的にいうとpaypayのようなものだとお互い接触しないので安全。支払い方法も安全だとその店には安心して行ける。,2,1,ja,地球のどこか/機内/ホテル,"職業：Travel Advisor(エアライン/ホテルのサービス研究)
ケイクス連載→https://t.co/WUPM9BLqcK
航空機の安全知識・旅パッキング・旅エッセイ→https://t.co/wAsgnH3zWO 
ファーストクラスとスイートルームが好き
ツイート＆著作は有料で使用可
たけのこの里派",3536,False,713,75418,2009-07-24 17:30:10
chizurudayoooon,2020-04-07 23:46:16,PayPayで支払う！って言ったお客様(オッサン)、登録ちゃんとしてなかったから支払い出来ないの店員のせいにして怒鳴り散らされたことあったわー...あとバーコード決済よく分かってないのにゴネてその場で登録し直したりする人結構多い...後ろ見て...長蛇の列できてんで......,0,0,ja,,千鶴だよ！20↑琵琶湖県全力ネタレイヤー💩刀剣とアイチュウにお熱💋 ドール垢(@ichika_dall1028)あるけどキャラドールはこっちにも垂れ流しますので白線の内側までお下がり下さいﾌﾟﾙﾙﾙﾙﾙﾙﾙﾙ 💋ヘッダーは愛しのクレイジーArSたち❤ ❤❤ 私の骨格はストレートらしい,147,False,226,17239,2016-05-27 00:52:06
SMS40494937,2020-04-07 23:44:39,"メルカリ、aupay、paypay、ヤフオク、Web Money、line、出会い系。電話番号を入力して,送信して認証するsms認証ならなんでも可能です。認証一律：７００円（大口も対応可能です）アカウント販売：Yahooメールアドレス, Gmailメールアドレスお支払いはline payです。お問い合わせ  DMまで",0,0,ja,,SMS認証,8,False,6,59,2020-03-29 05:09:33
KAI0000_key,2020-04-07 23:42:22,PayPayって自分で金額入力しなきゃいけないのめんどくさいね,6,0,ja,,"大掃除ヒーホー！！休職中社交不安 ゲーム(KH,ペルソナ) 、最近はあつ森、食パン、コスメ、カフェラテ、チャンミン、フリマアプリで断捨離",32,False,47,225,2019-10-28 09:15:39
miipuls,2020-04-07 23:42:21,Yahooでのお買い物は最近もっぱらPayPay残高で支払ってるし、昨日今日はYahooでお買い物してないしそもそも金額0円だし。。ほっといていいんだよね？,1,1,ja,,わたしが使っているサービス(固定ツイに書いてます)についてのお得な情報と、使ってみてわかったこと、最近はじめた(少額)投資についてもつぶやく予定です☻ ときどき雑記も☺︎ ／派遣社員／ひとり暮らし,24,False,82,138,2019-12-01 04:38:15
mirimiri_xo1102,2020-04-07 23:41:45,@paypay_01 まじか、明日来るかなぁ,0,0,ja,,来春からJCFL🇨🇳+🇺🇸/,485,False,489,473,2016-11-22 12:28:18
1rnRd,2020-04-07 23:40:37,SMS認証代行をします！一律630円からの破格気軽にDMください#SMS認証代行#メルカリ認証#ラクマ認証ラクマ770円ライン660円メルカリ880円基本千円以下です他も630円でok!実績数1600件以上#バンドル #アイコス #iQOS #LINE #PayPay #nike #SNKRS国内番号バンもされない安全保障ですよほ,0,0,ja,,常時対応 SMS認証代行を低価格でします #SMS認証代行 #メルカリ認証 #ラクマ認証 ラクマ780円 ライン560円 メルカリ880円 基本千円以下です！ 他も600円でok! 実績数1000件以上！ #バンドル #アイコス #iQOS #LINE #PayPay #nike #SNKRS バンもされない安全保障,3,False,0,95,2020-04-03 05:51:23
tyuukaoliive,2020-04-07 23:40:00,そういえばPayPay導入しましたPayPay童貞は自宅近くのセブンイレブンで捨てました,0,0,ja,永遠の28歳,"趣味は歴史巡り(城・資料館)とネットカフェ
好物はメンマとハムカツ
モバマス・デレステ(高垣楓担当)/ミリシタ/シャニマス/三国志大戦/ボンバーガール/FGO/ポプテピピック ロボットアニメ好き
スリーピースポップ・ロックバンド「スピラ・スピカ」を推して参る
やろうぜ!!MTGアリーナ!!",69,False,313,10465,2011-11-11 15:16:36
hirosima_tomo,2020-04-07 23:39:43,今日、松屋で飯食ったんだけどPayPayで320円払いからの64円戻ってきて驚いたわ。微々たるものだけどキャッシュレスにするだけだしな。,0,0,ja,,最近はホロライブにお熱,77,False,81,324,2011-11-25 18:23:31
naaaaaaa_na1,2020-04-07 23:39:15,PayPayドームがシャボンディ諸島みたいな描写で草 https://t.co/wxSVIsZOMA,4,0,ja,大阪府 大阪市 北区,@DANTHEMYUME @chiak_shirokyan,95,False,288,3476,2019-03-15 17:22:47
honda80y,2020-04-07 23:38:44,@angelhaw7771 急な転勤大変ですね！新天地(札幌)でも頑張ってくださいコロナが落ち着いて野球が始まったらpaypayドームでお会いしましょう😊お身体ご自愛くださいね🤗,2,0,ja,paypayドーム,"#80#23#28#20#51
ホークス一筋です😊

無言フォローすみません🙇
#たゆまぬ努力でさぁ時代を築け
#志ひとつにいけスピードソルジャー",185,False,171,1857,2018-11-08 03:19:29
OZORA_UTURO,2020-04-07 23:38:43,今日レジしてたらすんげえイケメンなおにーさん来たんだけど、PayPayの使い方よくわからなかったらしくて、説明したらはにかんでありがとうって言ってくれたの死ぬほど可愛かった,0,0,ja,あなぼこ,APEXを主にやってます。V沼にはまって今は抜け出せません。抜ける気もないです。冬アイスガチ勢です。 #大空洞デイリーアイス,263,False,705,38658,2018-04-20 14:28:57
vitv88,2020-04-07 23:37:49,@R_ultimateR PayPayの便利さがDon't you see！,0,0,ja,,"釣り行きたい。
おしゃべりクソ人間。
                         明日妹家族  はぐっこ ゆうファミ ぺこず ふぁみレド              
            明日香ちゃんねる応援してます",66,False,62,7553,2018-05-06 21:51:02
Angel_arnk,2020-04-07 23:37:46,@26LRS 個人的には財布もなくて、スマホの充電も無いのにPayPayやろうとした話好きえ？？？？,1,0,ja,,"アイコンはみすえるさん！@26LRS
エヴァ、ヱヴァ大好き！基本的にアニメは好き！Fate・SAO・リゼロ・喰種・進撃・カバネリ・ノゲノラ・コードギアス・攻殻機動隊etc..... 歌手はAimerさん愛してる！ロック、アニソンはちょっぴり？気軽に話しかけてくれると喜びます😆つぶやきは日常雑多
綾波レイFC39thC",532,False,572,24583,2015-02-15 13:09:05
kiarua___uu,2020-04-07 23:37:43,PayPayで,0,0,ja,さとちゃん,♛@satoniya_♛@satomimi__♛@satotomi__♛,10,False,48,504,2020-01-31 21:48:36
c_gaka,2020-04-07 23:37:38,ヤフオクとpaypayフリマでiPhone 6s販売中〜。,0,0,ja,北海道唯一の都市,"名前はキシリクリスタルのクリスタルネームから。
アニメ、ゲーム、ファッション、懸賞大好きマン。知識欲も好奇心も旺盛マン。良かったらフォローよろしくです！",98,False,1808,6013,2014-10-31 15:42:37
hira_mosu,2020-04-07 23:37:14,吉野家攻略https://t.co/WGmg9ILMGH① PayPay支払い〜4月30日②テイクアウト15%off〜4月22日③モバイルTカード提示80pt〜4月12日 https://t.co/n6lFJ4iKLR,80,7,ja,九州,日記しか書かない乞食,4293,False,60,3523,2019-03-16 16:03:22
sanzugawawataru,2020-04-07 23:37:10,paypay三菱対応しろ,0,0,ja,ア アラララァ ア アァ!,クラシックメタルは聴かないキッズ,24,False,16,1790,2014-10-02 06:19:02
yujirock1220,2020-04-07 23:36:53,ライブ遠征でくらいしか飲まなくなったから忘れてたけど、ムリに通わなくてもキープしたらええんやな。通えないとこはPayPayで援護したらええし( ◜ω◝ ) https://t.co/P9eOeZ5ozO,23,0,ja,,#天体3349 #BABYMETAL #BANDMAID #LOVEBITES #D_Drive #モンハン #FX #日経225 専業トレーダー,1189,False,731,74039,2011-08-22 13:31:47
SMS40494937,2020-04-07 23:36:47,"メルカリ、aupay、paypay、ヤフオク、Web Money、line、出会い系。電話番号を入力して,送信して認証するsms認証ならなんでも可能です。認証一律：７００円（大口も対応可能です）アカウント販売：ヤフオクメールアドレス, Gmailメールアドレスお支払いはline payです。お問い合わせ  DMまで",0,0,ja,,SMS認証,8,False,6,59,2020-03-29 05:09:33
S4UC8R0,2020-04-07 23:35:26,きのこたけのこ戦争にアルフォートを持ち出してくるヤツはレジでさも当たり前のように「PayPayで」と言ってくる,1,0,ja,,秀華高→柳川大→仙台ライブドアフェニックス→ニート,186,False,405,124812,2016-12-22 10:38:59
trhk_lcn,2020-04-07 23:34:39,@tosSEVENTEEN セブチ 個別握手会 個握 福岡 ヤフオク PayPayドーム 譲  クプス 2部 14:00〜      ミンギュ 3部 15:00〜求  買取当方10代後半です。#セブチ交換 #SEVENTEEN交換,2,0,ja,,,7,False,1,15,2020-01-06 16:08:15
kawaiikatzbom,2020-04-07 23:34:37,やまたのおろち逃げるやんけPayPayのCMかじゃあいいですぅー！#DQウォーク  #ドラクエウォーク #ドラゴンクエストウォーク,14,0,ja,,🌟ニコラ等で活躍のイラストレーター、カツボン @katzbom の情報をお知らせします💗100%フォロバ✨お仕事の依頼はDMへ🌈公式サイト: https://t.co/xAkCuWrXeT 原宿フレンズLINEスタンプ: https://t.co/cJCC3WXz3S,1038,False,1129,3188,2014-02-23 10:23:23
kyoto6101106,2020-04-07 23:33:26,ま、まもなく人生で初の、paypayデビューします窓口で、ぺ、、ペイペイでって言うんでしょ？,14,0,ja,滋賀県 琵琶湖の東側,音楽４０% バイク３０% 仕事２０% 食べ物１０% 推し →ロットン、Xmas Eileen、BONEZ バイク乗りレブル250。音楽とバイクの友達は増やしたい！あと介護は、もう17年選手,197,False,250,3176,2014-08-28 16:43:26
crdy,2020-04-07 23:33:12,PayPayでの寄付や支援は手間が少なくていい！,0,0,ja,Yokohama City 粒谷区,阪神タイガース🐯刀剣乱舞（鳴狐🦊） ハローキティ🎀 ピューロアンバサダー　　　　さては　しょうわのひとです。,1295,False,1695,20860,2009-09-14 10:05:48
nyanyako_neko,2020-04-07 23:33:04,オンライン物販と、無料でお手紙書かせていただきます👾詳しくは下を呼んでくださいお支払いはPayPayです💌に希望の物販番号、名前、住所(郵便番号も)、Twitterの名前(出来ればユーザー名も)記入nyanyako_neko@yahoo.co.jp物販購入される方でお手紙が欲しい方も、お手紙だけ欲しい方もお気軽に🐱 https://t.co/PQZbRnfMk0,17,7,ja,,🐱🎯🍜⚽️ 🎯 めいどだーつばー→ @nenekoshka,987,False,173,6569,2016-06-07 10:05:42
saika1_0,2020-04-07 23:32:45,PayPayインストールしてたのに全く登録手続きしてなかったけど、今日新しいTカードにしたからついでに登録完了させてきたラムちゃん可愛くね！？モバイルでもイラスト表示できるとかありがた仕様だわ🙏💕 https://t.co/JyktvcnF6p,0,0,ja,,雑多垢。2次元３次元問わずツイート。最近呟かなくなってもその沼にはいる。男女/百合/BL/女体化などが好き。すぐ箱推しする。,709,False,826,35837,2014-04-05 07:20:36
housimaru3,2020-04-07 23:31:25,アミンたんさんからPayPayの支払いリクエストが届きましたリンクをタップ、またはQRコードを読み取ってPayPay残高を送りましょうhttps://t.co/HWJlIM9FVf https://t.co/mTXMIK7G2k,1,0,ja,三原出身🐙埼玉住み🏍東京出没♪私は余命三年と…,発達障害？#配信社 #ニコ生主 成功率0.03%這い上がれ自分‼️#本田直之 📖西野エンタメ研究所最近入会１ヶ月で脱退⚡︎スロットからラスベガスへ💸行きたい😚IBS&メンタルオフ会代表4年☘サイコ注意👁フォロー半分企業⁈3年以上の闘病全身癌年末母死亡wオトン3月末に死亡#心身症 #荒野行動 #パパ活 #妄想障害,1354,False,1738,30152,2010-08-23 02:38:39
mono_Piglet,2020-04-07 23:30:57,#ドケチ政権クーポン渡す位なら税率0にしちまえよ現金渡したくないなら、何でPaypayとかそっちの方使わないのよ何かもう根本的に可笑しいよな…ドケチとかじゃなく、やりたい事も多少分かるんだよでも老害で馬鹿だからもっと良い方法が分からないんだよいやもう素直に国民の言う事聞けよ？！,0,1,ja,,,15,False,39,1229,2019-06-29 08:18:50
karkwind,2020-04-07 23:30:40,え？マジっすか…orz / “【悲報】スーパーマーケット・ロピアでのPayPay（ペイペイ）の取り扱いが4月末で終了、BIGHOP印西の店舗も | 印西とぴっく” https://t.co/dRHWC4MUR2,0,0,ja,alis.kw.to,"はてブ、ブログ更新、時々、独り言。また、無職。
自作トークン「KWDCOIN(XKW)(カワダコイン)」を配布中。
2020年の目標は「出会い」
感想は個人、体験は全部友達ですｗ
別のアカウント→@KWDCOIN
匿名の質問は https://t.co/J7y2n1u64i",625,False,999,47215,2009-09-02 08:33:02
S7CHudb7FSeYCyl,2020-04-07 23:30:25,出)お好きな家具・マイル旅行券等のアイテム求)1点につきアマギフ or paypay 500円先送りのみお気軽にDMまでお越しください!!6#あつ森#あつまれどうぶつの森,0,0,ja,,基本1体700色違い1000で販売中/配信系はだいたい揃っていますのでお気軽にdmまで/実績多数/TN peke/あつ森取引始めました,20,False,30,184,2020-03-21 12:48:59
housimaru3,2020-04-07 23:30:09,川口で若い人で歩いてないけど…スロットは今日でスロット出来るのは最後かもと思う人いそう。常連さんばっかりだったかな…。そんで9000円負けました(꒦ິ⌑︎꒦ີ)ぴえんリスナーさん( ´•ω•` )PayPay下さいw#ニコ生主 #PayPay古事記,0,0,ja,三原出身🐙埼玉住み🏍東京出没♪私は余命三年と…,発達障害？#配信社 #ニコ生主 成功率0.03%這い上がれ自分‼️#本田直之 📖西野エンタメ研究所最近入会１ヶ月で脱退⚡︎スロットからラスベガスへ💸行きたい😚IBS&メンタルオフ会代表4年☘サイコ注意👁フォロー半分企業⁈3年以上の闘病全身癌年末母死亡wオトン3月末に死亡#心身症 #荒野行動 #パパ活 #妄想障害,1354,False,1738,30152,2010-08-23 02:38:39
areyama123,2020-04-07 23:29:17,@a_i_ne_ PayPay登録のクレジット？,0,0,ja,,"主現場は音音愛音(@a_i_ne_)のライブ

たまに
🦈🐐🐈で沸いてるひと
サメ界隈",155,False,181,12250,2013-06-20 10:49:59
iueonakai,2020-04-07 23:28:40,中井うえおに貢ぎたい人いつでもpaypayのコード出すから言ってね(((と言うかせっかくだから何か形になるものを出したいんだけど、何が良いんだろう…ランダムデザインでポストカードとか…？Tシャツステッカーの類は無限に作りたいけど需要どうなんだろ…,8,0,ja,💌お写真はDMへ📮LINEできません🙅‍♀️,中井 うえお。インターネット自撮りマン/花江夏樹とミミッキュがすき。FGOのお姉さん,1151,False,579,19888,2017-05-07 23:52:19
dddmon,2020-04-07 23:28:08,🎀観覧方法🎀こちらのQRコードを読み込んでください！！「アートスナック番狂せ」さんのInstagramに飛びますので、まずはフォローお願いいたします‼️こちらから配信となります☺️大事な投げ銭の方法、まずはpaypayの登録から！！どうぞ、宜しくお願いいたしますm(__)m https://t.co/Kgr9nJ5Mj9 https://t.co/r0UYO8ZMMW,2,4,ja,関東,"石川県生まれ。ソプラノ歌手をしております♪ジャンルにとらわれず、クラシックからJazz,Pops,歌謡曲 ,演歌etcなんでも歌わせていただきます🎵
大きな身体を響かせて歌と心をお届けいたします。
天才ピアニストセンチメンタル岡田さんとYoutubeやっております🎵
演奏依頼はdmondiva@gmail.com",451,False,569,3665,2011-02-17 02:00:19
mochi0__0,2020-04-07 23:28:04,@sukiya_jp 安くて美味しいすき家😳❣️❣️とろろとわさびの牛丼大好きなので食べたいっ😌🌸いつもお支払いはPayPay利用してます( *˙˙*),0,0,ja,,20代🧚‍♀️/1児のママ🧡/食べることがスキ🍴/美容💄漫画📕ゲーム📲/YouTubeと懸賞にハマり中🌸/ #ママ友 募集💚/毎日笑ってればいい事あると思ってる🌻/もちまい🌾@satyandayo2/いつもありがとう❤#もち当選報告,5265,False,5143,51494,2019-04-03 01:38:39
