システムID,ジャンルID,ステータスID,感情ラベル,content
11726,Xperia,522946096327176192,neutral,徹子の部屋に宅麻伸出てる。ヨシヒコのダンジョーが頭から離れないとツイートしょうとしたら、宅麻伸が１発変換出来ない。うすうす気付いてたがXPERIA……バカ？……バカだな。 #勇者ヨシヒコ #XPERIA
11734,Xperia,522948220482097152,neutral,そもそもキャリアモデルのエクスペリアはミク以外許せない感。
11738,Xperia,522949551141834752,neutral,"そうです～(&gt;_&lt;)
うちのXPERIAさん、速度制限かかってるので普通に無理でした(TT)"
11747,Xperia,522951663762423808,neutral,"（続き）
DLNAプレーヤーアプリの例
１．twonky beamとDTCPアドオン
２．DIXIM（最近の国内メーカースマホは大体入ってたような？）
３．最近のXPERIAなら標準アプリ"
11770,Xperia,522957598627090433,neutral,Xperia版とauスマートパス版のjubeatはよAndroid4.4対応アプデしてくれ判定ズレ過ぎてて調整足りねんじゃ
11591,Xperia,522903796519694336,NegaAndPosi,"来月で2年縛りが切れるんだけど、iPhone 6 評判があまりよろしくないなぁ。
Xperia Z3に変更しようかな。
そうするとメアドやらなんやら変えにゃならんし、どうせ変えるならキャリアを変えるのもありなんだけど。。。
う～ん。悩む。"
11605,Xperia,522907949442674688,neutral,SONYのXperia Z3 TabletにはiPad air2もスペックでは全くかなわないまでも、mini2なら価格で有りの範囲かと思ふ。ただかなり各機能は妥協になる
11646,Xperia,522923790544539649,positive,おお、sonyさん、Xperia Z までもLolipop へのアップデート対応してくれるのか～
11889,Xperia,522999608947920896,neutral,"ガジェットはパソコンと同様にこれ以上の進歩はあまりなさそうです。
最終的に残るのは、格安機と一部の高級機だと思います。
アップルは孤高の存在で残るでしょうがAndroid陣営では、GALAXY、XperiaとNexusでしょうか。"
11892,Xperia,523000177439698944,positive,とりあえずAndrOpenOfficeはもう要らんな（Android上でDebianが動いているXperia Z1にいれたLibreOfficeを見ながら）
11829,Xperia,522978472260829184,negative,安いなーXperiaに比べて
11839,Xperia,522980927358529538,negative,iPadの利点はモノラルスピーカーだけど、本体が金属でボディ全体を振動させるようにすると、意外と良い音になるのが良い。プラやXperiaなどのFRPボディでは振動しにくい。
12067,Xperia,523044472859262976,neutral,やはりXPERIA
12070,Xperia,523045309752942592,positive,機種変にきた。Xperiaでおねしゃすいうたら1種類しか在庫なくて笑ったwwwしかも黒しかないとかで、もうそれに決めたで～。小さくなるからスクフェスやりやすくなりそうヽ(・∀・)ノ基準はそこや(о´∀`о)
12089,Xperia,523049866126032896,positive,"ハイレゾ？？
CD音質よりも高音質？
それが冬モデルのスマホ、Xperia Z3に対応？
それはやばい！！"
12100,Xperia,523052273102880769,neutral,"Iphone6売ることにしました。今のところXPERIA Z ultraのsimフリー版を使う予定。どうせsimフリー使うなら最初からsimフリー版のiPhone買っとくべきだった。それならdocomoのままで良かったのに。
もう通信会社に翻弄されるのもAppleにもウンザリだ。"
11952,Xperia,523016353326723072,neutral,私はガラケー・ユーザーだがSIMフリーのXperiaやAQUOS PHONEがあったらスマホを持つことを考えるかも。
12042,Xperia,523040491479126016,neutral,"Xperia Z, Xperia ZL, Xperia ZR, Xperia Tablet Z, Xperia Z1, Xperia Z1S, Xperia Z Ultra, Xperia Z1 Compact・・・あれz1f"
12252,Xperia,523085105162493953,neutral,"割れちゃったネク7の代わりにタブレット買おうと思ってるのだけど、iPad mini 3は進化しなかったし、Nexus9は大きい割に対したことないからXperia待ちかGALAXYか
AndroidだとLightroom使えないから悩ましい"
12144,Xperia,523061597955055616,neutral,"初めて入った二郎系の店で注文表をよく見ないで野菜ちょっと多めのつもりで頼んだら、一番多い量で出てきつまっただ…orz
意地で食べきっただ。
XPERIAくんからバーンが流れて来なかったらヤバかったww"
12156,Xperia,523064745314635776,neutral,ソフバンからXperia Z3の宣伝メールきたな、見た目はキライじゃないんだが、ずーっとSHARPだからなあ
12207,Xperia,523077664467206145,neutral,"一昨日エクスペリア落として
画面かけたかと思ったら、
画面シールが割れただけだった♪
なんて奇跡なんだろうwww
買って2ヶ月で画面割れたなんて言ったら洒落にならないからねwww
auショップで買った画面シールから違うのに張り替えて
一週間の出来事www"
12222,Xperia,523079828933603328,neutral,Xperia P向けのAndroid Lを搭載したCyanogenmod降ってこないかな
12228,Xperia,523080582491013120,neutral,"iPhoneいかれてからあれこれやって前のパソコンも起動せず同期もできず、悲しすぎて時間が経ってしまったー‼︎早く来月に携帯変えたい‼︎ヽ(；▽；)ノ
XperiaかまさかのiPhone6か‼︎
我が家の財務大臣よ、早く結論を‼︎笑"
12244,Xperia,523083874738270208,neutral,BMW Z4とXperia Z4でダブルZ4だ！とかいうアカウント早よ出ろ
12467,Xperia,523125713038106625,neutral,"ここはXperia Z3Xが存在しないと言い切ったのか
芋さんはあるって言ってしわからんな"
12298,Xperia,523093485801332738,neutral,このXperiaもあと3%、、、落ちたらiPadでTwitterだな
12344,Xperia,523101837444911105,negative,アップルのACアダプタ使ってXPERIA充電しようとすると必ず一瞬充電した後反応しなくなる
12657,Xperia,523260068561551361,positive,"あれ？
Xperiaとipadって、普通にBTテザリングできるようになってたのね！
知らなかった…

ますますiPhoneじゃなくてiPod touchで良くなったんだけど、新型いつなの？"
12488,Xperia,523129555796500480,neutral,いやだからなんでXperiaは毎回新型出た瞬間次のモデルがリークされるんだよwww
12516,Xperia,523138005583007745,neutral,んで、ま転んでもただでは起きるまい、ちょっとでも楽しく！とけったいなくらいでかいと日本におるときから思てたxperiaを買ってみたんやけど、lineのログインだけが全然できん。困った。
12526,Xperia,523142174364274688,neutral,ガタが来てるXperiaで世にも…。見れるかしら…。
12533,Xperia,523143764680777730,neutral,xperiaのスレ見てると4.4にして後悔してる人いっぱいいるけどそういう人たちは何で4.4にしたんだろう？しなきゃいいのに。調べもしないでバージョン上げたのかなぁ
12537,Xperia,523145612061970433,neutral,しかし、Apple神話がガラガラ崩れていくなあ。暗黒の虹色リンゴ時代に戻る感じだ。iPhone 6も買う気せず、XperiaやNexusが気になるし、何だかPower MacからVAIOに乗り換えた、あの頃の気分に酷似している。
12538,Xperia,523146433042448385,negative,"iPad Air2 金128GBポチリ。
Xperia Tablet Zも使ったけど、やはり電子書籍で漫画読むなら4:3液晶に限るって事でiPad mini 64GBがメインになり、ストレージ残量との戦いにもなってたし、miniは見開きが小さくて…。"
12540,Xperia,523147225199697920,positive,XPERIA Aのバッテリー交換したら約30%ほどバッテリーの持ちが改善してご満悦のmelfy氏。
12571,Xperia,523166324172677121,neutral,"botはあえて使わない………
この感覚が、XPERIA"
12598,Xperia,523209046199762944,neutral,たのまれ Xperia M2 Dual D2302 完成！こんかいは SoftBank SIM &amp; Bigrobe SIM(WiFi付) で 980円＋900円＝月々1880円と安くなる！
12780,Xperia,523298691214348288,neutral,&lt;( ｡･ω･)&gt;チャラくないからxperiaでも大丈夫～♪
12796,Xperia,523302060104495104,neutral,XPERIA Z1とNexus7を持ってるのに、Nexus9が気になり始めてきた。何故だ？
12667,Xperia,523262958139211776,neutral,あっきーのXperiaたその症状笑った
12685,Xperia,523273898125574144,neutral,え、エクスペリア内蔵のやつあるんやびっくり
12696,Xperia,523277966516555777,neutral,エクスペリアは明日あたり予約しに行くか
12699,Xperia,523279768876089346,neutral,横浜ヨドバシで、Sony Xperia Z3 black を予約。発売日、価格はまだだそうだ。横浜駅広場で10月18日(土)本日Xperia Z3の体験会有り。
12710,Xperia,523283430541242368,neutral,Androidの「WiFi File Trasfer Pro」も手放せない。Xperia Z Ultraは防水なのであまりUSBのキャップを開閉したくないんだけど（緩くなると困るので）、こいつのおかげで無線でファイル転送できてる。
12723,Xperia,523286550394576899,neutral,なんか携帯もうこれ寿命だと思うんだよね、どんだけタスク切っても重いし、インターネット繋がりにくいし....早くXperia来ないかな....
12734,Xperia,523289694033809408,neutral,"Android 5.0アップデートリストにうちのXperiaも入ってるなぁ。
…ということでNexus6は見送りかな。
Motorolaといえば聞こえは良いけど、Lenovoだよな。"
15746,Xperia,524187670352633857,neutral,"Xperiaの時に入ってた音楽ぜんぶうつしたー
めっちゃ疲れた。518曲も入ってたよ。そんな入れてたんだ。"
15758,Xperia,524188681398005763,neutral,Xperiaの発売日を待つ
14614,Xperia,523840936422686720,neutral,Xperia Z3 Compactがまもなく発売ということで、Z1Fの白ロムが相場がだいぶ安くなってきとるな。そろそろ買い時かもしれん。
14978,Xperia,524020936425472000,negative,ｴｸｽﾍﾟﾘｱちゃんにウォークマンの代わりに音楽入れたのでイヤホンジャックアクセサリーが使えなくなっちゃったんだよね　さよならトキヤ…
15380,Xperia,524127894587449344,neutral,"スマホがフリーズしまくり(T^T)
予約してるXperia Z3早く入荷して(&gt;_&lt;)"
15792,Xperia,524192845645639680,positive,まだ手元のXperia2年経ってないけど、「唯ちゃんのハローコール」ハイレゾ配信してくれるなら買う！
14643,Xperia,523846174382383104,neutral,ARROWS X LTE F-05Dって正面から見たのがXperia SO-01Bみたいでちょっと惹かれるんですよね。
14999,Xperia,524028233654624256,neutral,"XPERIAもソフバから出すのか
今更だか初耳だわ"
15807,Xperia,524195383316996096,neutral,Xperiaでドコモとau向けに同じ機種を出すときにいつもau版が先だったけど、Z3はついにドコモ版が先になるのか
15421,Xperia,524136700801331200,neutral,1ADACをXperiaで視聴してみてるけどこれiPhoneしか持ってないって人にはいいのではないかなー。
15442,Xperia,524142074694627328,neutral,Xperiaのキャンペンガールのお姉さんにロゴうんぬん言ったら結構不評らしいね
15836,Xperia,524200058946723840,neutral,そういえば、エクスペリアさんAndroid4.4にアプデしろよーみたいに通知出てめんどいからアプデしようと思うけど…別になんかトラブルないよな？
15839,Xperia,524200197337792512,neutral,SH302SHクソすぎてソフバンショップにクレーム言いにいってタダでXPERIA Z3に替えてえな？
14681,Xperia,523854425714999297,neutral,"丁度千葉モノレール付近でオレイモのopが選曲された

このXperiaやるな。"
15480,Xperia,524148133974925313,neutral,今まで（今でも）iPhoneにそんなに興味なかったけど、最近のスマホ見てても何だか手の平に収まらないくらい大きいのばっかりだし。丁度良い大きさだなぁと思ったのは5Sかエクスペリアの何かくらいしか見当たらないのよね…。判断基準は機能＜大きさです。そもそもこれが間違い？
15101,Xperia,524053259623755776,neutral,"代替機ないからしばらくXperiaたんでしか連絡取れなくなりまふ(∵`)
ソフトバンクのメールかラインで連絡取ってたみなさまはツイッターとかで連絡ください、、"
15507,Xperia,524152866156453888,neutral,※黒SIMでXperia使いたい人に限るを付け忘れてた
15871,Xperia,524203625883521024,neutral,Xperiaじわるwwwwwまだじわるwwwwwwwwww
15878,Xperia,524204842630123520,neutral,今使ってるXperiaから #機種変更 ずっと検討してるけど #iPhone6 か #XperiaZ3 、または #XperiaZ3Compact で悩んでる。
15898,Xperia,524207593506344960,neutral,Xperia Z3の発売日がようやく決まった。auは今週金曜だ。発表がギリギリすぎる
15523,Xperia,524154742834864130,neutral,Xperia Z3のスマートカバーが興味深い
15532,Xperia,524156065844170754,neutral,"Xperia Z3発売日といいZ3Compactの独占販売といい、docomoは相当金積んだな。いや、ビジネス的に悪いことだとは思わないんだが。

そこまでして新規獲得に必死な姿勢を見ると、契約して既存客になった途端にないがしろにされるんだろうなと思ってしまう。"
15186,Xperia,524081017049477122,neutral,au版Xperia Z3購入者先着25000人にmoraクーポンプレゼントか
15190,Xperia,524083070094163969,neutral,"PS4…中古で約33000円か…
PS3っていくらで売れるんだろ…

それより新しいXperia欲しいって言うね…

宝くじ当たんねーかなぁ←"
15574,Xperia,524161376835473408,neutral,エクスペリアにウォークマンというSONYの犬
15589,Xperia,524163428986802176,positive,Xperia Z3の発売日やっと決まったんだ！早くMNPしたいけど11日まで出来ない…
15205,Xperia,524088207873290240,neutral,雨にふられたー、エクスペリアＺ３、１１月までまちと。
14859,Xperia,523972365391101954,neutral,"私の端末事情

POID→B2G
Xperia ray→B2G
ISW11K→B2G
IS01→Android4.1

もう闇しかない"
14866,Xperia,523975706141659136,positive,ぐぐったらふつーにかわいいかばーあったしもういいエクスペリアにする
15218,Xperia,524093172847091712,neutral,"いまdocomoの151に電話して番号ポータビリティのところに問い合わせたら，機種変更の機種代金を割り引いてもらえるクーポンを発行してもらえたぁ…！ しかも10800円って思ったより高額！ やったね！ やっぱ乗り換えない！
Xperia Z3予約してこよっ！(〃^ー^〃)w"
15638,Xperia,524169223199674368,neutral,何度か落としたこともあるためか古いためか、昨日Xperiaで使ってたメモリの読み込みが悪くなってきたのでmicroSDXC64GBのメモリを購入したが端末の動きが心なしか良くなったような気がする。
14492,Xperia,523817001697828864,neutral,Xperiaちゃんだよ！！！！！(ultra)
15660,Xperia,524173293742338048,NegaAndPosi,"7インチくらいの小さめタブレットが欲しいんだけど、iPad mini 3はしょんぼりなスペックだったしXperia Z3 Tablet Compactかなあ？
でもZ4の噂とか見てるとスルーした方がいいような気がするんだよなあ…。(´・ω・｀)"
15662,Xperia,524173425653190656,neutral,そばちゃすぐ更新できんくなる。Xperiaやけどいいツイッターのクライアントないかね
14510,Xperia,523820796154634242,neutral,至極簡単にAPを2つ設置してお互いLANケーブルで繋ぐだけ。そこでXperia移動させてみてローミングできてしまったら家のネットワークがヤバいことになってるってことにｗ何かそれも困るなぁ...
14899,Xperia,523989822965157888,positive,"ついにゴミ中のゴミ、P-01D（３G）から４Gに乗り換えちゃうよ時代を先どっちゃうよ（遅い）
ただ、エクスペリアがなくてサムチョンに・・・本体代6000円でポイント使ってゼロ円だし、新型エクスペリア出たらそっこー機種変するまでの繋ぎだかんな！！！"
15684,Xperia,524177290444296192,neutral,あーめんどくさいけど、Xperiaからメモリカード抜いてデータコピーするのが確実か。
15691,Xperia,524178231247654915,neutral,Xperiaにして一年、いつの間にか周りはソニー製品w
15714,Xperia,524182451073990657,neutral,Xperia Z3の発売日きたー！24日！
15717,Xperia,524182970353983488,neutral,"エクスペリアZ3たぶん買う(^q^)
いいクーポン出るといいなーと願う。"
14561,Xperia,523829199425912832,neutral,どうしてもXperiaコンパクトほしいからdocomoに乗り換える！って親に言ったら家の家族は3人だけだからって言われたwww
14954,Xperia,524014230735839232,neutral,Xperia Z3C 予約してきた
14966,Xperia,524017967504171008,neutral,じゃあ俺はXperiaタブレット買いますね！
15330,Xperia,524119166106624000,neutral,XperiaにGLAS.tを貼ったら１週間で角が割れている。あと買わない。
15341,Xperia,524121037030424578,neutral,"せつなさんもあるのに
Xperiaな大吟醸。切ない大吟醸。
ジーク・ジオン。"
14595,Xperia,523837264187514881,neutral,"今日の放送中止になってしまって申し訳ない…！

我らがXPERIA様のエナジーフィラーが空になってしまったので身動きが取れなくなってしまった

よろしかったらまた次回を楽しみにして頂きたいです"
13468,Xperia,523471758129500160,negative,"この二年間、国産Android使いましたがマシになったと思うがもう嫌だ。
GPSがフラつくし進行方向が逆になる…。Xperia使ってみたかったが発売まだ先やし裏のガラス割れると聞くとね。USBのカバーもめんどくさい。"
13472,Xperia,523472224657747972,neutral,Xperiaに魅せられた主任さんが荒ぶってる。
14255,Xperia,523760850692108288,neutral,禿のXperia Z3いいなーと思う一方で3月頃発表されそうなZ4もかなり気になる
13507,Xperia,523477654356246528,neutral,"Xperia Z3の割り引きクーポンが届いてたから３年使ったこのスマホを変えたいと思うのだが、Z3でかすぎるだろ(^^;
まー、安くなることに越したことはないから変えるけどね。"
13512,Xperia,523478478079795201,negative,"Xperia tablet zはドコモではAndroid 5.0にはしてくれないはず(ｰｰ;)
スマホだけ優遇するってどうゆうこっちゃ。。
グローバル版の方をroot化して、再度SIMロック解除というまわりくどいことをしないとあかんことになるのね。。←root化の残念なところ"
13891,Xperia,523660380510232576,negative,症状再現せずで返却のXperia Z Ultra。順調に症状が進行してきた。これなら再現せずとは言われまい（苦笑）土日はショップも込んでるだろうし、明日一日経過を観察して月曜にでも再度修理にだそう。またiOSに逆戻りかぁ。最近はAndroidの方が快適に感じてるのでツライ。
13901,Xperia,523663138365771778,neutral,あいひょんから勢いでXperiaにしてしまったんですけど～っ！！かおもじが！！ないよ！！しおりの！！
13129,Xperia,523385962932350978,neutral,そしてXPERIA Z3は、24日発売濃厚とな？
13532,Xperia,523481951043203073,neutral,あ、ちなみにXperia Z3compact気になってる。
13537,Xperia,523482657616035841,neutral,俺ネスペ受かったら、 xperia tablet z3 compact購入するんだ！と死亡フラグ立てようとしたら
13538,Xperia,523483372815781888,neutral,分からないじゃないですか！奴らなら携帯の画面壊しながら出て来れますよ！！iPhoneよりXperiaが出やすいとか話し合ったりしてますよきっと！！！怖い！
13540,Xperia,523483694154018817,NegaAndPosi,うぅ。急にXperia Z Ultraの海外SIMフリー版が欲しくなってきた。思いの他値段下がっていたんだなぁ･･まあそれでも3万以上はするんだけどね。
14319,Xperia,523774756726644738,neutral,Xperia z3予約╭( ･ㅂ･)و ̑̑ ｸﾞｯ !
13161,Xperia,523391913429176320,neutral,Xperiaにしてきたー！機種変一時間半って言ってたのに2時間ごえじゃないかー！！つかれた…そしてこの新しい携帯の手探り感やばば
13554,Xperia,523486432644460544,neutral,"今はよっぴーのXperia特番をタイムシフト試聴

なにこれすごい"
13944,Xperia,523672777576828929,neutral,(๑•̀ㅂ•́)و✧この感覚がXperia
13945,Xperia,523672955398529024,neutral,通話はXperia Rayで、その他のデータ通信はNexus 9で賄い、Nexus 9の通知をAndroid Wearで受け取るとか良さげなんだけどなあ。
14345,Xperia,523780189763813377,neutral,あ、そうだ。もう一つデジカメ的なものにXperia UL SOL22
13186,Xperia,523400296844644352,neutral,バックアップして、xperiaのアップデートをしたいんだけどHCRの動画があって、5GB分もあるらしくバックアップ出来ない(((^_^;)
13584,Xperia,523493093832527872,neutral,Xperia安くなってる
13968,Xperia,523679743116185600,positive,いつのまにかソニレコのおでかけ転送にエクスペリアが対応している！と思ったら（前はなぜかアクオスホンだけだった）、今度は私のレコが古すぎて対応してなかった
13594,Xperia,523494696299925504,neutral,Xperia Z3はやくー
